,gene_name,gene_biotype,P14E1KO_1_1_count,P14E1KO_1_3_count,P14E2KO_1_1_count,P14E2KO_1_3_count,P14E1WT_2_2_count,P14E1WT_2_4_count,P14E1WT_2_5_count,P14E2WT_2_1_count,P14E2WT_2_5_count
Smg6,Smg6,protein_coding,977,761,864,1568,852,824,898,1016,642
Gm7367,Gm7367,processed_pseudogene,389,429,363,545,469,318,413,412,388
Hoxb5,Hoxb5,protein_coding,96,133,302,240,102,85,196,172,177
Rps10.ps2,Rps10-ps2,processed_pseudogene,2238,1737,2221,3257,2568,1974,1729,2579,2099
Pcbp1,Pcbp1,protein_coding,6972,4829,6323,7678,9391,7013,6099,7321,6554
Cand1,Cand1,protein_coding,2411,1692,2303,2738,2764,2495,2310,2396,2081
Wdr89,Wdr89,protein_coding,752,757,944,1055,1128,823,830,1306,1075
A930012L18Rik,A930012L18Rik,antisense,7,1,3,10,3,5,18,3,11
AC126280.1,AC126280.1,lincRNA,10,1,3,5,1,4,1,0,1
Gdf7,Gdf7,protein_coding,3,1,3,0,1,0,0,0,0
Gemin6,Gemin6,protein_coding,161,88,154,166,232,206,155,146,201
Extl2,Extl2,protein_coding,160,119,176,226,199,161,185,173,189
Bnip3l.ps,Bnip3l-ps,transcribed_processed_pseudogene,57,75,90,165,107,112,114,120,109
Gm15666,Gm15666,transcribed_processed_pseudogene,4,4,3,1,0,3,1,3,1
X4930594M22Rik,4930594M22Rik,processed_transcript,17,9,7,16,8,9,11,4,11
Gm47877,Gm47877,antisense,4,1,2,0,0,0,0,0,1
Tent5c,Tent5c,protein_coding,490,182,221,905,171,181,275,532,252
Ntf5,Ntf5,protein_coding,1,1,0,3,4,3,2,3,2
Acyp1,Acyp1,protein_coding,89,87,107,154,101,84,93,107,80
Arhgap19,Arhgap19,protein_coding,411,433,451,433,617,485,620,368,447
Zfp414,Zfp414,protein_coding,144,106,153,217,158,105,109,136,155
Dmtn,Dmtn,protein_coding,1,1,2,5,2,1,0,0,0
Abhd5,Abhd5,protein_coding,480,297,428,462,446,308,326,391,315
Gm38394,Gm38394,protein_coding,134,118,135,242,145,162,107,128,93
Gm38364,Gm38364,processed_pseudogene,0,2,4,1,0,0,1,0,0
Ccdc92b,Ccdc92b,protein_coding,10,19,6,22,23,15,24,17,26
Gm39469,Gm39469,lincRNA,35,28,40,33,16,26,40,22,18
Il22ra1,Il22ra1,protein_coding,383,405,380,515,612,475,382,436,409
Dusp10,Dusp10,protein_coding,212,260,295,402,282,459,260,384,291
Hmgb1.ps6,Hmgb1-ps6,processed_pseudogene,0,0,1,1,3,1,0,1,3
Trmt1l,Trmt1l,protein_coding,890,676,944,1097,871,821,780,891,880
Shisal2b,Shisal2b,protein_coding,0,0,3,1,4,3,3,1,2
Gm45495,Gm45495,lincRNA,22,31,33,72,28,41,29,38,21
Gm17606,Gm17606,protein_coding,1,0,3,5,0,2,0,2,0
Orc4,Orc4,protein_coding,627,397,607,670,582,608,652,668,560
Areg,Areg,protein_coding,5446,5705,4422,8184,3977,5461,3571,5906,3561
Adcy8,Adcy8,protein_coding,1,1,1,0,0,3,4,1,2
Itln1,Itln1,protein_coding,19,6,48,89,9,16,19,34,29
Ccdc120,Ccdc120,protein_coding,615,514,542,728,526,626,420,390,466
Gm28901,Gm28901,lincRNA,19,25,40,44,53,29,38,41,42
Etaa1os,Etaa1os,antisense,8,10,7,21,4,2,10,8,8
Pdcl,Pdcl,protein_coding,846,634,701,936,904,962,811,758,781
Gm2999,Gm2999,processed_pseudogene,251,202,167,244,186,191,178,210,168
Haus1,Haus1,protein_coding,140,169,228,173,236,216,204,197,204
Gm15541,Gm15541,antisense,22,22,6,21,10,17,12,5,6
X2700038G22Rik,2700038G22Rik,lincRNA,49,16,27,45,65,30,39,32,44
Gm44787,Gm44787,lincRNA,1,1,1,1,2,1,2,0,11
AC154683.1,AC154683.1,antisense,0,1,2,1,1,2,1,7,1
Grwd1,Grwd1,protein_coding,576,333,540,550,877,513,495,596,473
Gm9908,Gm9908,bidirectional_promoter_lncRNA,34,54,33,52,12,20,44,42,26
Wdr91,Wdr91,protein_coding,194,93,193,185,133,126,171,131,144
Acot4,Acot4,protein_coding,171,184,235,215,254,252,243,207,183
Gm23245,Gm23245,snoRNA,1,2,4,6,1,0,5,2,0
Ppm1l,Ppm1l,protein_coding,210,187,215,313,259,248,234,236,285
Cdc73,Cdc73,protein_coding,1001,612,1056,1256,1195,1090,958,1011,978
A430106G13Rik,A430106G13Rik,lincRNA,1,1,0,0,1,3,1,3,0
Nob1,Nob1,protein_coding,715,439,596,733,856,591,547,871,637
Gm5559,Gm5559,processed_pseudogene,135,123,148,170,216,230,148,141,169
Tmcc3os,Tmcc3os,antisense,0,1,4,7,3,5,5,10,5
Cphx3,Cphx3,protein_coding,1,0,0,2,0,11,1,2,0
Mphosph6,Mphosph6,protein_coding,426,272,390,440,532,406,346,402,454
Msra,Msra,protein_coding,658,613,734,935,625,534,742,799,637
Gabarapl1,Gabarapl1,protein_coding,510,594,631,789,602,529,591,610,469
Mcm3,Mcm3,protein_coding,1457,1148,1722,1805,2322,1483,1911,1486,1577
Pnrc2,Pnrc2,protein_coding,2017,1645,1956,2457,2297,2079,2389,2045,1958
Zbtb48,Zbtb48,protein_coding,358,228,367,394,274,259,256,387,314
Col6a2,Col6a2,protein_coding,2,1,0,11,0,4,19,17,3
Gm15898,Gm15898,antisense,5,17,3,5,4,3,5,5,5
Gm12261,Gm12261,processed_pseudogene,1,8,1,9,9,4,12,10,4
Gm15594,Gm15594,antisense,2,0,7,0,0,0,1,0,0
Gm14066,Gm14066,processed_transcript,3,3,0,1,0,2,0,0,0
Gm9419,Gm9419,processed_pseudogene,3,1,11,4,2,3,1,5,3
Ist1,Ist1,protein_coding,4189,3442,4622,5013,3564,4082,3743,4470,3390
Gm23780,Gm23780,misc_RNA,0,6,2,4,2,7,4,4,12
Gm14000,Gm14000,processed_pseudogene,1,0,0,0,6,1,1,0,0
Ccdc38,Ccdc38,protein_coding,2,3,13,7,5,0,6,4,5
Ndufs1,Ndufs1,protein_coding,2866,2500,2945,3558,3532,3143,3600,3043,2807
Ddx6,Ddx6,protein_coding,4763,3727,4650,5578,5266,4929,4625,4916,4421
Lage3,Lage3,protein_coding,392,256,289,361,380,251,289,282,247
Gm8054,Gm8054,processed_pseudogene,5,0,4,1,1,3,0,1,0
Apc2,Apc2,protein_coding,7,1,4,6,4,5,1,1,2
Gm19557,Gm19557,antisense,16,11,5,25,18,25,18,17,19
Gm15720,Gm15720,processed_pseudogene,0,4,0,4,0,0,0,0,0
Arl14ep,Arl14ep,protein_coding,249,197,234,311,265,292,260,248,245
Chat,Chat,protein_coding,4,19,69,83,10,3,10,31,50
Resf1,Resf1,protein_coding,958,834,1307,1455,1262,1377,1189,1118,1184
Zfp322a,Zfp322a,protein_coding,290,218,346,297,318,324,312,331,301
C1qtnf4,C1qtnf4,protein_coding,58,34,26,46,27,19,31,35,39
Galnt5,Galnt5,protein_coding,610,319,449,473,626,674,575,367,490
Mvp,Mvp,protein_coding,6999,7218,8890,8854,9459,8631,8451,8560,8515
AC163633.2,AC163633.2,lincRNA,0,5,1,0,0,1,1,0,1
Mrps35,Mrps35,protein_coding,994,784,1025,1111,1080,1003,1068,1144,1043
Gm4189,Gm4189,processed_transcript,19,14,20,26,19,10,4,18,19
Hist1h2bq,Hist1h2bq,protein_coding,18,5,8,18,3,11,6,10,5
mt.Cytb,mt-Cytb,protein_coding,122511,90792,156776,134579,86855,93674,120876,117319,135284
Gm37824,Gm37824,TEC,1,1,3,0,3,3,2,3,2
Tubgcp5,Tubgcp5,protein_coding,347,191,308,318,369,343,310,281,272
Asb1,Asb1,protein_coding,108,104,132,191,196,127,143,151,145
Gm7380,Gm7380,processed_pseudogene,1,1,0,0,0,1,1,1,5
Pi4k2a,Pi4k2a,protein_coding,846,638,764,1019,957,862,828,862,928
Gm48823,Gm48823,lincRNA,0,2,3,0,2,0,0,0,0
Dnal1,Dnal1,protein_coding,36,45,35,51,29,31,36,35,34
Spry4,Spry4,protein_coding,280,189,314,356,290,108,210,316,147
Tnfsf8,Tnfsf8,protein_coding,0,0,0,1,0,1,0,0,8
Mex3a,Mex3a,protein_coding,99,76,120,139,127,124,92,156,151
Gm38843,Gm38843,lincRNA,2,0,0,0,5,2,1,2,2
Gm15432,Gm15432,processed_pseudogene,10,4,9,15,14,3,5,5,7
Cpt2,Cpt2,protein_coding,1515,1578,1820,1954,1667,1632,1721,1595,1248
Gm24379,Gm24379,misc_RNA,4,3,0,7,1,2,4,0,0
Scn1b,Scn1b,protein_coding,18,10,1,12,1,13,9,4,6
Rhag,Rhag,protein_coding,1,1,1,4,0,2,0,0,0
Ift46,Ift46,protein_coding,476,466,489,719,420,450,525,471,443
Gm15265,Gm15265,antisense,20,14,10,28,22,32,30,15,21
Scara5,Scara5,protein_coding,22,15,18,26,25,26,20,29,26
Leprot,Leprot,protein_coding,1591,1357,1594,2121,1544,1402,1747,1536,1405
Rsbn1,Rsbn1,protein_coding,359,354,401,484,424,380,371,360,294
Gm38144,Gm38144,TEC,0,1,0,0,0,1,2,0,4
Haus6,Haus6,protein_coding,408,305,419,427,573,430,505,355,390
Rpsa.ps2,Rpsa-ps2,processed_pseudogene,140,111,122,243,213,149,175,185,179
Slc18a1,Slc18a1,protein_coding,40,84,78,48,106,104,97,32,83
Gm15693,Gm15693,processed_pseudogene,11,12,17,14,19,18,14,13,22
Irak4,Irak4,protein_coding,730,657,922,893,987,859,779,910,862
Vkorc1l1,Vkorc1l1,protein_coding,912,580,721,936,992,908,848,873,754
Pald1,Pald1,protein_coding,44,37,56,54,47,34,53,33,18
Gm35721,Gm35721,lincRNA,0,2,0,2,0,0,0,0,0
Gm8822,Gm8822,processed_pseudogene,138,146,132,171,218,166,173,142,170
X9030619P08Rik,9030619P08Rik,transcribed_unprocessed_pseudogene,109,11,33,56,46,37,27,21,36
Sfrp5,Sfrp5,protein_coding,0,6,6,4,2,1,0,1,3
Gm36529,Gm36529,antisense,2,0,0,0,4,0,0,4,2
Gm26880,Gm26880,lincRNA,2,4,0,4,7,5,3,8,4
Gle1,Gle1,protein_coding,666,493,546,668,763,631,680,561,665
Zfp511,Zfp511,protein_coding,247,204,282,328,346,273,274,278,270
P2ry13,P2ry13,protein_coding,0,0,0,0,0,0,0,0,11
Gm15549,Gm15549,processed_pseudogene,0,2,7,0,3,7,8,1,7
Gm12537,Gm12537,processed_pseudogene,0,1,3,1,5,4,2,3,2
X3425401B19Rik,3425401B19Rik,protein_coding,3,0,16,2,0,0,0,7,1
Gm44531,Gm44531,TEC,1,0,0,1,1,5,0,3,0
Gm12734,Gm12734,processed_pseudogene,3,6,2,10,0,2,3,2,4
Lxn,Lxn,protein_coding,186,146,188,353,279,235,194,278,266
Zmym2,Zmym2,protein_coding,1272,976,1389,1707,1046,1276,1231,1344,898
Gm43682,Gm43682,TEC,2,4,2,4,7,2,9,1,7
Gm8221,Gm8221,unprocessed_pseudogene,0,0,0,1,0,3,0,2,2
Ppp4r3b,Ppp4r3b,protein_coding,1697,1248,1540,2210,1841,1732,1677,1743,1794
Rnf2,Rnf2,protein_coding,498,393,558,724,456,423,508,538,381
Igfbp6,Igfbp6,protein_coding,0,2,1,7,6,2,3,13,3
Gm3555,Gm3555,processed_pseudogene,16,18,5,18,25,28,25,18,24
Cstf1,Cstf1,protein_coding,726,560,639,825,910,674,717,747,665
Cntrl,Cntrl,protein_coding,1766,1497,1875,2369,1623,1548,2097,1694,1500
Vsir,Vsir,protein_coding,6,7,15,9,6,12,13,17,21
Gt.ROSA.26Sor,Gt(ROSA)26Sor,antisense,330,293,485,499,293,371,353,400,381
Bex2,Bex2,protein_coding,62,34,20,55,112,69,39,40,46
Gm11605,Gm11605,processed_pseudogene,9,9,5,3,17,13,10,5,11
Gm7868,Gm7868,processed_pseudogene,0,0,1,1,1,1,0,1,5
L3mbtl2,L3mbtl2,protein_coding,558,333,543,576,695,521,554,469,497
Cops2,Cops2,protein_coding,1293,983,1191,1625,1415,1309,1331,1329,1192
X1700027F09Rik,1700027F09Rik,lincRNA,1,7,1,0,2,0,0,0,0
Rfc4,Rfc4,protein_coding,323,271,344,348,407,326,390,310,345
Phf21b,Phf21b,protein_coding,528,265,540,573,650,604,400,642,482
Tyms.ps,Tyms-ps,processed_pseudogene,0,0,5,0,0,0,0,0,0
Car7,Car7,protein_coding,13,12,7,31,4,4,19,14,8
Cyb561a3,Cyb561a3,protein_coding,461,368,362,562,414,430,407,391,332
Ccr2,Ccr2,protein_coding,0,0,1,0,0,2,3,2,6
Neurl4,Neurl4,protein_coding,1652,1121,1651,1776,1567,1385,1451,1644,1213
Zfp111,Zfp111,protein_coding,257,203,234,274,246,246,198,196,152
Gm16433,Gm16433,processed_pseudogene,25,9,7,23,30,25,26,18,20
Gm45609,Gm45609,antisense,0,0,0,1,0,0,3,2,2
Gm6274,Gm6274,processed_pseudogene,37,26,28,40,41,36,30,56,34
N4bp2l1,N4bp2l1,protein_coding,22,91,70,76,27,44,50,49,64
Gm36862,Gm36862,processed_transcript,4,0,2,0,0,0,0,1,0
Rhobtb1,Rhobtb1,protein_coding,50,48,71,52,75,78,90,37,60
Ptgis,Ptgis,protein_coding,2,2,3,6,6,1,19,4,12
Syt6,Syt6,protein_coding,18,3,3,4,2,4,7,5,1
Rab18,Rab18,protein_coding,2024,1687,2100,2399,2451,2092,2069,2103,1998
Gm37334,Gm37334,TEC,1,0,0,0,0,2,1,0,4
Foxp1,Foxp1,protein_coding,2899,1862,2229,3510,2433,2241,2378,2572,1870
Peg3,Peg3,protein_coding,44,35,60,20,70,49,54,38,48
Zc3h7a,Zc3h7a,protein_coding,3698,3011,4209,3989,4498,4242,3747,3715,4597
Krt7,Krt7,protein_coding,3462,2171,4114,3657,4560,3664,2839,3390,3872
Gm26583,Gm26583,lincRNA,4,2,0,6,2,4,5,7,7
Nudt19,Nudt19,protein_coding,1247,980,1227,1697,1558,1372,1270,1381,1270
Gpr107,Gpr107,protein_coding,1493,1427,1595,1981,1451,1537,1414,1483,1370
Prrx1,Prrx1,protein_coding,0,0,0,1,2,2,0,0,3
Knl1,Knl1,protein_coding,617,427,517,530,763,590,842,356,518
Cdon,Cdon,protein_coding,433,367,348,613,465,425,388,350,340
Noc3l,Noc3l,protein_coding,474,255,489,465,591,472,386,500,394
Snrpf,Snrpf,protein_coding,472,423,476,616,788,548,484,563,520
Susd3,Susd3,protein_coding,5,0,9,14,1,1,1,10,2
Gm6158,Gm6158,processed_pseudogene,23,8,7,13,11,14,5,9,5
Wdr20,Wdr20,protein_coding,563,409,489,650,560,587,555,587,518
Idh3a,Idh3a,protein_coding,3969,3402,3897,4463,4956,4112,4276,4324,3792
Gm6226,Gm6226,processed_pseudogene,0,0,0,0,0,2,0,0,6
Rpp25l,Rpp25l,protein_coding,380,272,341,399,384,348,272,316,277
Tnfrsf23,Tnfrsf23,protein_coding,55,44,71,44,69,68,86,39,65
Retnla,Retnla,protein_coding,0,0,1,0,2,0,3,0,2
Pqlc1,Pqlc1,protein_coding,1106,850,1081,1611,1156,895,959,1241,925
Tgds,Tgds,protein_coding,260,185,226,278,262,220,218,205,167
Gm11517,Gm11517,processed_pseudogene,3,3,11,6,5,3,4,2,2
Ddrgk1,Ddrgk1,protein_coding,1564,1180,1642,1962,1412,1217,1413,1825,1438
Naa10,Naa10,protein_coding,332,335,417,482,507,409,443,460,434
Gm16243,Gm16243,antisense,9,2,12,1,0,0,3,5,0
Zfp454,Zfp454,protein_coding,15,7,23,17,6,8,4,19,5
Oxr1,Oxr1,protein_coding,932,617,704,1403,836,724,856,858,666
Ccdc102a,Ccdc102a,protein_coding,16,3,18,5,4,2,8,5,9
Ccdc171,Ccdc171,protein_coding,106,52,93,118,47,75,76,93,45
Cldnd1,Cldnd1,protein_coding,909,757,872,1171,1112,1009,861,1138,806
Gm28438,Gm28438,unprocessed_pseudogene,66,64,81,102,68,70,97,61,66
Pls1,Pls1,protein_coding,3894,4301,4567,4308,5660,5084,4878,3989,4589
Fanca,Fanca,protein_coding,547,383,646,532,862,560,657,444,557
Ubl4a,Ubl4a,protein_coding,1077,862,1004,1385,1116,937,986,1146,888
Gm15226,Gm15226,lincRNA,1,1,0,0,3,2,1,0,4
Gm4482,Gm4482,processed_pseudogene,16,16,21,20,20,22,31,29,18
Zfand3,Zfand3,protein_coding,1696,1341,1484,1924,1665,1396,1264,1485,1454
X1700001J03Rik,1700001J03Rik,protein_coding,7,1,6,1,4,2,1,0,0
Gm15495,Gm15495,processed_pseudogene,3,0,9,4,2,3,0,4,4
Hoxb3os,Hoxb3os,antisense,0,4,4,6,9,1,10,6,14
Cpsf1,Cpsf1,protein_coding,2219,1777,2417,2734,2717,2375,2352,2594,2295
Nubpl,Nubpl,protein_coding,127,105,123,187,146,166,136,166,123
Krcc1,Krcc1,protein_coding,1242,1118,1506,1677,1568,1376,1529,1453,1588
Cxxc1,Cxxc1,protein_coding,1963,1188,1650,2019,1885,1373,1526,1678,1428
Rpgr,Rpgr,protein_coding,102,98,119,157,160,145,139,117,136
Fam71f2,Fam71f2,protein_coding,4,5,4,9,1,5,8,15,13
Slc24a1,Slc24a1,protein_coding,0,1,0,0,1,1,2,0,2
Ccdc92,Ccdc92,protein_coding,59,52,98,49,86,111,63,67,67
Fzd1,Fzd1,protein_coding,647,401,447,776,560,392,464,461,446
Ehd3,Ehd3,protein_coding,3,0,4,0,12,3,0,2,9
Gm39318,Gm39318,antisense,0,0,0,0,3,0,2,0,2
X6430511E19Rik,6430511E19Rik,TEC,20,7,19,5,20,24,23,8,14
P2ry10,P2ry10,protein_coding,0,0,9,1,0,1,0,17,27
Gemin2,Gemin2,protein_coding,247,180,214,261,224,154,212,217,206
Nexn,Nexn,protein_coding,56,30,49,99,26,24,37,59,44
Esd.ps,Esd-ps,processed_pseudogene,4,0,4,1,2,8,6,6,14
Tspo2,Tspo2,protein_coding,10,5,8,15,11,8,11,16,20
Gm42881,Gm42881,TEC,2,2,1,0,1,0,1,0,1
Smpd4,Smpd4,protein_coding,939,667,926,966,1217,906,984,922,948
Vasp,Vasp,protein_coding,8098,6619,7463,9975,10174,8542,7225,8903,7810
X4931422A03Rik,4931422A03Rik,protein_coding,7,17,12,22,14,6,20,4,2
Glmp,Glmp,protein_coding,1766,1374,1626,2039,1536,1520,1370,1807,1489
Pet100,Pet100,protein_coding,244,250,320,415,264,220,288,358,297
Cdhr4,Cdhr4,protein_coding,13,1,7,7,7,8,4,5,2
Ifi35,Ifi35,protein_coding,335,416,525,554,551,560,441,580,607
Dmac1,Dmac1,protein_coding,365,272,352,491,428,382,365,457,405
Atg10,Atg10,protein_coding,79,45,65,84,80,86,71,74,78
Fcrl5,Fcrl5,protein_coding,0,1,0,0,1,2,0,1,2
Gm12319,Gm12319,lincRNA,42,33,48,36,26,24,31,36,34
Elavl4,Elavl4,protein_coding,2,0,0,4,8,3,1,0,6
Adrb2,Adrb2,protein_coding,99,48,67,76,53,64,54,67,55
Kif16b,Kif16b,protein_coding,1012,912,967,1283,977,922,1045,965,859
AA914427,AA914427,TEC,9,3,8,26,22,20,19,18,11
Tesk1,Tesk1,protein_coding,624,431,650,651,693,462,512,569,428
Brpf1,Brpf1,protein_coding,1259,1047,1377,1636,1612,1470,1264,1605,1240
Klhl10,Klhl10,protein_coding,0,0,5,13,0,1,2,0,1
Sema4a,Sema4a,protein_coding,4633,3777,5061,5538,4388,4326,4368,4364,4790
Gm18310,Gm18310,TEC,4,1,3,0,0,4,6,5,5
Gm44669,Gm44669,TEC,6,2,2,4,8,2,9,1,9
Ltbp3,Ltbp3,protein_coding,10,12,13,17,16,6,5,4,9
X1700037H04Rik,1700037H04Rik,protein_coding,455,375,481,659,525,370,452,469,436
Ankrd63,Ankrd63,protein_coding,0,1,0,1,0,2,1,0,8
Gm18222,Gm18222,processed_pseudogene,5,2,2,7,1,4,3,1,4
Gm10154,Gm10154,processed_pseudogene,131,93,168,175,186,156,170,184,145
Gm47398,Gm47398,lincRNA,5,0,8,2,1,1,1,0,2
Dynlt1c,Dynlt1c,protein_coding,145,62,223,230,98,143,344,154,347
Ttl,Ttl,protein_coding,205,164,183,294,241,150,182,205,147
X5730403I07Rik,5730403I07Rik,lincRNA,2,1,1,2,0,1,0,0,0
Hectd1,Hectd1,protein_coding,3316,2385,3102,3809,3849,3620,3221,3190,2770
Hmgb3,Hmgb3,protein_coding,939,661,783,903,1017,798,941,897,930
Kcnj15,Kcnj15,protein_coding,2,2,0,2,0,0,0,0,0
Gm44731,Gm44731,antisense,3,1,0,2,8,5,0,2,4
Cma1,Cma1,protein_coding,23,31,8,25,23,78,35,38,22
Plekha5,Plekha5,protein_coding,2847,2185,2473,3501,2470,2589,2645,2742,2202
X2310026L22Rik,2310026L22Rik,lincRNA,4,5,2,6,5,4,12,2,11
Arhgef26,Arhgef26,protein_coding,578,251,500,618,594,521,454,659,540
Jrk,Jrk,protein_coding,146,58,118,113,143,127,154,86,159
Poc5,Poc5,protein_coding,406,250,250,430,453,368,404,311,332
Gm49331,Gm49331,unprocessed_pseudogene,106,81,126,107,86,85,88,79,84
Gm12751,Gm12751,processed_pseudogene,453,420,377,543,476,370,307,498,375
Hpf1,Hpf1,protein_coding,489,462,542,580,687,555,714,437,619
Haus5,Haus5,protein_coding,48,36,42,35,66,50,63,68,49
Caly,Caly,protein_coding,2,1,5,0,1,0,0,0,2
Gm48972,Gm48972,lincRNA,0,0,0,0,5,0,0,1,4
Igfn1,Igfn1,protein_coding,8,10,1,14,3,6,3,3,6
Aldoa,Aldoa,protein_coding,75,32,49,61,45,48,55,38,28
A230083G16Rik,A230083G16Rik,antisense,91,40,74,197,96,74,60,93,70
Zfyve26,Zfyve26,protein_coding,462,445,563,742,638,628,713,575,517
Kit,Kit,protein_coding,1346,707,974,935,719,970,1018,776,700
Gm5155,Gm5155,unprocessed_pseudogene,1,0,0,0,1,1,2,0,2
Gm44735,Gm44735,TEC,0,0,0,0,1,2,0,1,2
Mrpl58,Mrpl58,protein_coding,579,496,691,751,773,629,666,704,736
Ssu72,Ssu72,protein_coding,969,844,1002,1158,1268,1045,965,987,1012
A130006I12Rik,A130006I12Rik,pseudogene,0,1,0,7,3,4,3,3,8
Pde4dip,Pde4dip,protein_coding,2107,1665,2227,2627,2198,2018,2067,2036,1708
Mir186,Mir186,miRNA,8,5,5,9,5,9,14,5,13
Rab23,Rab23,protein_coding,199,149,254,252,214,217,157,181,162
Abca1,Abca1,protein_coding,75,81,88,302,57,71,84,129,111
Plin5,Plin5,protein_coding,4,14,15,8,22,12,25,16,14
Gm37915,Gm37915,antisense,0,8,5,14,0,0,6,8,1
Gm715,Gm715,processed_pseudogene,4,0,4,0,0,0,0,0,0
Hist1h4k,Hist1h4k,protein_coding,25,18,24,37,19,21,24,19,19
Churc1,Churc1,protein_coding,169,177,242,341,320,217,253,278,222
Fam118a,Fam118a,protein_coding,160,184,198,144,125,101,207,92,136
Rpp21,Rpp21,protein_coding,410,299,416,515,424,325,344,464,346
Exosc1,Exosc1,protein_coding,335,178,239,241,369,253,226,313,295
Taz,Taz,protein_coding,1170,960,1403,1431,1044,1138,1226,1191,1181
Tnfsf12,Tnfsf12,protein_coding,7,4,4,4,11,6,9,6,8
Gm17415,Gm17415,processed_pseudogene,17,14,9,6,11,13,17,16,22
Cep63,Cep63,protein_coding,546,412,532,768,496,464,434,578,523
Bbx,Bbx,protein_coding,546,437,529,632,460,530,472,464,483
Hist1h4m,Hist1h4m,protein_coding,25,22,10,25,15,30,39,25,25
Gm15675,Gm15675,lincRNA,51,20,55,35,19,23,20,26,51
B430306N03Rik,B430306N03Rik,protein_coding,0,0,0,0,2,0,0,0,6
OR5BS1P,OR5BS1P,protein_coding,0,0,0,0,2,0,0,0,6
Triqk,Triqk,protein_coding,120,72,96,128,96,115,153,112,122
Gtf2f1,Gtf2f1,protein_coding,1436,1202,1588,1491,1738,1420,1402,1657,1552
B3glct,B3glct,protein_coding,273,203,323,403,237,261,296,290,278
Carf,Carf,protein_coding,111,77,102,142,101,95,103,86,98
Tpm1,Tpm1,protein_coding,6402,5134,6325,7691,6278,6087,5695,6023,5242
Gm24430,Gm24430,snRNA,4,0,0,2,4,5,3,2,2
CT009627.2,CT009627.2,TEC,3,1,1,6,0,1,2,0,0
Eipr1,Eipr1,protein_coding,385,342,448,470,497,456,436,503,433
Lipg,Lipg,protein_coding,2374,1411,1858,2442,2063,1436,1858,1754,1468
Gm45627,Gm45627,lincRNA,1,0,0,2,0,3,1,5,1
Gm12352,Gm12352,antisense,9,46,33,57,20,25,28,45,20
Pdlim4,Pdlim4,protein_coding,21,7,1,22,8,9,6,2,5
Bcap31,Bcap31,protein_coding,2493,2172,2923,3339,2624,2376,2585,2733,2308
Gm11725,Gm11725,antisense,6,1,10,9,5,4,6,2,2
Mfsd11,Mfsd11,protein_coding,513,379,515,613,483,451,508,499,468
Mzt1,Mzt1,protein_coding,1059,795,807,1350,911,847,975,855,872
Prpf38a,Prpf38a,protein_coding,731,535,881,843,951,793,793,844,741
Chchd2,Chchd2,protein_coding,6170,5948,7269,8255,7564,6061,6248,7213,6064
Gm8451,Gm8451,processed_pseudogene,42,20,31,65,68,50,35,59,38
E130307A14Rik,E130307A14Rik,antisense,48,38,74,65,64,67,59,57,89
Pde6b,Pde6b,protein_coding,0,2,0,6,1,1,0,0,0
Tmem234,Tmem234,protein_coding,1998,1649,1920,2521,1958,1775,1957,2101,1788
Whamm,Whamm,protein_coding,557,497,719,753,714,764,664,667,803
Gm12829,Gm12829,lincRNA,13,11,17,13,15,5,11,14,5
Dxo,Dxo,protein_coding,824,624,928,886,794,697,758,916,708
Gm17244,Gm17244,TEC,4,2,1,4,3,0,0,2,1
Gm7389,Gm7389,processed_pseudogene,11,5,4,3,12,11,3,7,16
Gm47847,Gm47847,lincRNA,0,0,0,0,2,0,2,3,0
Mfsd1,Mfsd1,protein_coding,989,869,944,1219,1148,1128,1027,1030,1018
Frmpd1,Frmpd1,protein_coding,4,1,2,0,0,0,2,0,0
Gm9761,Gm9761,processed_pseudogene,126,74,104,135,186,111,116,129,103
AI506816,AI506816,processed_transcript,2284,903,2303,2684,5255,1653,1627,2830,3324
A630014C17Rik,A630014C17Rik,antisense,0,0,1,0,1,0,4,0,2
Ncoa5,Ncoa5,protein_coding,1413,767,1257,1309,1202,1027,1033,1143,928
Senp2,Senp2,protein_coding,1151,985,1082,1459,1276,1215,1269,1198,1177
Ywhaq.ps2,Ywhaq-ps2,processed_pseudogene,0,0,0,0,3,0,0,0,5
Ssna1,Ssna1,protein_coding,697,531,866,844,717,531,635,802,594
Gm11830,Gm11830,processed_pseudogene,15,8,0,4,3,0,3,3,6
Fscn2,Fscn2,protein_coding,0,8,0,2,9,14,2,6,2
Rad51,Rad51,protein_coding,644,440,590,662,850,648,736,525,634
Agr2,Agr2,protein_coding,16910,11036,18603,13774,20498,17855,17657,13499,17056
Fer1l6,Fer1l6,protein_coding,719,541,323,230,324,501,383,202,220
Klk1b21,Klk1b21,protein_coding,0,3,4,2,0,0,0,2,0
Nufip2,Nufip2,protein_coding,1902,1530,1604,2505,2173,2063,1875,2247,1777
Tmem212,Tmem212,protein_coding,0,0,0,0,4,1,5,0,0
Mib1,Mib1,protein_coding,1895,1220,1700,2095,2429,1934,1670,1794,1352
Gm10297,Gm10297,processed_pseudogene,38,14,23,40,39,19,50,47,38
Adh1,Adh1,protein_coding,13041,7353,6796,20909,8105,9559,7308,14600,8614
Lsg1,Lsg1,protein_coding,742,416,706,759,864,637,641,777,640
Zfp174,Zfp174,protein_coding,27,28,52,44,28,33,24,37,25
Cdan1,Cdan1,protein_coding,400,307,417,381,355,357,327,363,321
