gene_id gene_name gene_biotype P14E1Vil_1_1_count P14E1Vil_1_3_count P14E2Vil_1_1_count P14E2Vil_1_2_count P14E2Vil_1_3_count P14E1Vil_2_4_count P14E2Vil_2_5_count P13E2Cad_2_3_count P13E2Cad_2_4_count P13E2Cad_1_1_count P13E2Cad_1_3_count P13E2Cad_1_4_count P13E2Cad_1_5_count P13E1Col_1_3_count P13E1Col_1_4_count P13E1Col_1_5_count P13E1Col_1_6_count P13E1Col_1_7_count a10 a19 a20 a9
Bloc1s2 ENSMUSG00000057506 Bloc1s2 protein_coding 568 623 553 533 641 2103 809 732 738 750 768 805 653 803 907 702 1462 1278 209 204 190 220
Spop ENSMUSG00000057522 Spop protein_coding 3525 4476 5019 3764 4379 3052 3621 3721 3273 3320 3095 3504 3269 4431 3480 3576 2987 3218 1651 1708 1874 1410
Ece1 ENSMUSG00000057530 Ece1 protein_coding 3015 3388 3475 2657 3374 1040 2637 2411 2739 2141 1968 2562 2213 3312 2378 3411 1171 1700 1431 1568 1946 1171
Dtnbp1 ENSMUSG00000057531 Dtnbp1 protein_coding 539 580 651 531 623 809 766 395 433 424 374 427 323 699 746 658 922 935 180 192 224 205
Elobl ENSMUSG00000057534 Elobl protein_coding 0 0 0 1 0 5 5 0 0 0 0 0 0 0 7 6 4 0 0 0 0 0
Pus7 ENSMUSG00000057541 Pus7 protein_coding 379 481 802 482 476 193 488 295 232 221 303 341 239 428 462 586 346 442 169 197 277 172
Zfp317 ENSMUSG00000057551 Zfp317 protein_coding 531 656 774 532 587 342 418 548 360 322 425 447 326 469 439 495 313 349 248 212 267 180
Lgals8 ENSMUSG00000057554 Lgals8 protein_coding 1456 1554 1726 1661 1923 1089 2246 2615 2143 1902 2388 2633 2028 1759 1729 1969 1264 1988 738 703 850 747
Eif1a ENSMUSG00000057561 Eif1a protein_coding 1936 2312 1956 2604 2622 4490 4237 3226 3541 2570 3542 3666 2726 3126 3997 3602 4416 4823 705 639 864 679
Zbtb8os ENSMUSG00000057572 Zbtb8os protein_coding 644 716 618 668 809 1424 878 963 958 923 912 1079 868 993 850 758 1218 965 335 382 372 268
Gm10012 ENSMUSG00000057580 Gm10012 transcribed_processed_pseudogene 37 31 47 49 74 154 69 79 84 115 78 80 65 27 74 46 95 111 2 4 6 7
Arl16 ENSMUSG00000057594 Arl16 protein_coding 218 235 216 274 276 214 212 201 263 270 206 211 176 336 267 270 239 295 125 97 130 84
Trim30d ENSMUSG00000057596 Trim30d protein_coding 405 716 912 764 815 475 525 1145 935 417 552 1491 389 1085 569 758 460 580 352 207 253 522
Lmcd1 ENSMUSG00000057604 Lmcd1 protein_coding 119 126 62 73 116 46 67 32 33 52 30 34 23 93 99 134 106 100 40 46 60 36
Gm6807 ENSMUSG00000057605 Gm6807 processed_pseudogene 41 61 53 69 53 86 47 46 39 41 42 27 50 58 48 38 57 433 23 30 48 36
Colq ENSMUSG00000057606 Colq protein_coding 36 74 62 33 60 53 31 72 39 37 54 75 22 37 81 46 51 26 15 14 16 19
Gnai1 ENSMUSG00000057614 Gnai1 protein_coding 693 478 759 486 797 242 229 222 88 240 165 184 234 464 338 356 221 308 373 353 462 275
Prdm2 ENSMUSG00000057637 Prdm2 protein_coding 1559 2232 2085 1720 1929 339 1479 1734 1326 1082 1384 1372 1304 1673 1500 1598 499 845 634 703 804 591
Brd9 ENSMUSG00000057649 Brd9 protein_coding 1110 1121 1329 1051 1220 646 1121 1519 1254 1023 1358 1503 1041 1034 854 981 737 1205 462 563 539 467
Rps18.ps3 ENSMUSG00000057657 Rps18-ps3 processed_pseudogene 30 34 30 50 45 71 34 35 29 22 34 28 19 23 37 51 57 139 2 2 4 2
Gapdh ENSMUSG00000057666 Gapdh protein_coding 215 240 3726 341 355 282 406 4167 876 558 670 5032 2718 4256 452 345 4196 2600 1072 1063 1322 1100
Bloc1s3 ENSMUSG00000057667 Bloc1s3 protein_coding 531 549 576 557 671 787 807 627 543 529 471 613 513 628 633 652 707 988 197 244 227 190
Pkn1 ENSMUSG00000057672 Pkn1 protein_coding 1681 1923 2352 1871 1963 555 2176 1999 1768 1499 1737 2003 1707 2184 1698 2531 1064 2033 1657 1633 1994 1481
Zfp746 ENSMUSG00000057691 Zfp746 protein_coding 841 737 983 668 831 252 717 682 555 449 536 590 478 674 675 763 406 581 301 288 377 265
Rpl30.ps1 ENSMUSG00000057696 Rpl30-ps1 processed_pseudogene 25 23 25 28 30 36 30 51 24 30 25 29 27 31 29 16 37 86 0 2 1 2
Vmn1r53 ENSMUSG00000057697 Vmn1r53 protein_coding 0 0 0 0 0 0 1 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0
Mex3b ENSMUSG00000057706 Mex3b protein_coding 96 106 138 83 78 71 98 81 47 29 66 71 36 106 133 93 48 57 41 23 41 33
A830018L16Rik ENSMUSG00000057715 A830018L16Rik protein_coding 10 9 5 4 16 3 2 8 3 1 9 10 3 5 2 0 6 2 1 7 4 5
Tmem178b ENSMUSG00000057716 Tmem178b protein_coding 49 47 56 41 61 0 20 35 21 19 22 15 18 39 20 30 1 11 23 39 35 33
Sh3rf2 ENSMUSG00000057719 Sh3rf2 protein_coding 266 537 635 365 936 65 288 275 203 161 248 148 188 443 305 528 210 387 202 182 202 460
Lepr ENSMUSG00000057722 Lepr protein_coding 395 467 422 374 533 301 259 218 86 128 134 108 107 410 430 578 361 315 187 219 304 209
Prtn3 ENSMUSG00000057729 Prtn3 protein_coding 4 9 8 8 20 81 44 13 19 9 12 27 7 20 15 90 76 37 2 0 4 6
Sptan1 ENSMUSG00000057738 Sptan1 protein_coding 6579 8185 10861 6813 8694 1373 7254 10378 8606 7455 8453 9596 7677 7031 4074 7467 1554 2644 3037 3106 4532 2725
Megf6 ENSMUSG00000057751 Megf6 protein_coding 122 154 264 112 111 64 50 73 53 63 57 51 50 60 59 70 25 37 41 56 78 38
Gm6169 ENSMUSG00000057762 Gm6169 protein_coding 224 313 439 281 312 244 414 261 275 310 254 297 253 409 366 350 284 456 122 124 185 73
Ankrd29 ENSMUSG00000057766 Ankrd29 protein_coding 37 48 75 25 49 4 7 14 12 5 8 10 11 29 20 24 8 21 15 28 30 13
Mab21l2 ENSMUSG00000057777 Mab21l2 protein_coding 432 216 223 248 318 47 167 135 95 104 92 129 142 167 120 179 99 157 302 310 361 237
Cyb5d2 ENSMUSG00000057778 Cyb5d2 protein_coding 259 266 265 209 254 210 237 218 224 233 212 194 174 227 235 244 198 184 90 99 108 84
Ddx49 ENSMUSG00000057788 Ddx49 protein_coding 568 699 691 635 673 475 779 478 492 459 472 546 440 765 696 686 605 959 385 358 468 387
Bak1 ENSMUSG00000057789 Bak1 protein_coding 2276 2823 2444 3238 3069 3932 6026 3493 4316 3606 3630 4851 3859 4441 4606 5211 5432 5675 1495 1414 1675 1375
Gm10030 ENSMUSG00000057802 Gm10030 processed_transcript 5 3 5 4 1 5 0 2 5 3 6 9 2 1 2 4 4 3 2 3 1 5
Cfap299 ENSMUSG00000057816 Cfap299 protein_coding 16 6 4 4 7 6 5 3 2 4 3 0 5 4 2 10 6 2 1 6 3 1
X1600029O15Rik ENSMUSG00000057818 1600029O15Rik transcribed_processed_pseudogene 1 1 10 2 0 0 0 1 2 3 0 3 1 3 0 0 0 4 1 1 0 2
Zfp119a ENSMUSG00000057835 Zfp119a protein_coding 102 179 132 119 157 182 90 111 69 61 106 95 60 122 157 130 161 152 53 58 80 40
Xlr3a ENSMUSG00000057836 Xlr3a protein_coding 34 144 59 36 70 175 175 83 123 45 30 80 93 43 109 45 60 115 31 15 46 18
Rpl32 ENSMUSG00000057841 Rpl32 protein_coding 9863 12071 12759 9953 11659 37311 16460 9683 9465 9352 9936 11820 7580 14372 16694 12072 31587 23501 3359 3384 3903 2621
Zfp595 ENSMUSG00000057842 Zfp595 protein_coding 155 223 223 189 207 100 126 209 133 118 138 158 109 119 146 125 117 107 78 85 91 65
Fam204a ENSMUSG00000057858 Fam204a protein_coding 322 363 274 241 386 576 461 359 432 327 385 499 357 361 476 404 470 652 168 148 184 172
Rpl36 ENSMUSG00000057863 Rpl36 protein_coding 7023 7976 8531 7250 7644 25343 11177 7130 7059 6955 7104 7986 5407 9322 9927 7615 20354 14566 2252 2053 2633 1733
Abat ENSMUSG00000057880 Abat protein_coding 3279 7808 11945 4984 7509 888 3179 4776 1837 3315 3277 3688 3268 4262 2766 1897 1209 1943 2572 2354 3212 2616
Cbx3.ps6 ENSMUSG00000057886 Cbx3-ps6 processed_pseudogene 0 7 13 2 4 6 6 2 1 4 0 5 1 5 6 4 8 10 5 13 4 4
Zfp329 ENSMUSG00000057894 Zfp329 protein_coding 451 473 658 410 503 129 235 459 257 211 273 296 266 343 275 394 91 163 202 211 226 178
Zfp105 ENSMUSG00000057895 Zfp105 protein_coding 58 48 58 30 37 26 37 28 26 15 19 37 27 42 29 47 19 43 18 25 24 13
Camk2b ENSMUSG00000057897 Camk2b protein_coding 233 431 258 356 297 89 185 95 218 220 213 150 313 286 202 256 128 221 160 142 166 107
Adgrf2 ENSMUSG00000057899 Adgrf2 protein_coding 0 0 0 0 0 0 4 0 1 0 0 2 0 0 0 5 0 0 0 0 0 0
Cacnb2 ENSMUSG00000057914 Cacnb2 protein_coding 157 185 140 112 140 9 45 73 41 73 59 55 103 92 59 70 20 19 101 78 109 93
Gsta2 ENSMUSG00000057933 Gsta2 protein_coding 19 5 9 8 2 1 12 1 4 17 10 4 4 9 25 6 21 17 5 7 0 3
Gm17136 ENSMUSG00000057945 Gm17136 processed_pseudogene 2 0 1 1 0 0 0 1 1 0 0 5 0 0 1 0 0 0 0 0 0 0
Unc13d ENSMUSG00000057948 Unc13d protein_coding 498 470 412 559 602 561 1028 1057 1253 1089 1149 1196 1023 803 676 1177 513 835 151 139 156 142
Itpk1 ENSMUSG00000057963 Itpk1 protein_coding 4331 4819 5025 4764 5935 4961 7791 6768 9536 7608 7036 8824 7499 7582 5834 6534 5386 7441 1965 2094 2322 1950
Fgf18 ENSMUSG00000057967 Fgf18 protein_coding 13 7 49 3 13 4 3 5 2 6 1 1 1 10 10 1 3 6 10 6 7 7
Sema3b ENSMUSG00000057969 Sema3b protein_coding 2100 1884 2037 1689 2283 809 2030 2154 1896 1728 1855 2064 1776 1813 1486 1650 902 1499 833 796 983 730
Vmn1r12 ENSMUSG00000057981 Vmn1r12 protein_coding 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Zfp809 ENSMUSG00000057982 Zfp809 protein_coding 417 558 519 389 515 266 295 418 280 260 375 362 228 368 452 399 188 285 221 220 242 172
E030024N20Rik ENSMUSG00000057990 E030024N20Rik processed_pseudogene 8 6 12 11 12 29 8 8 24 24 24 37 17 5 20 11 17 24 4 1 1 5
Mdn1 ENSMUSG00000058006 Mdn1 protein_coding 746 831 1153 702 849 150 625 540 489 320 502 621 358 462 426 839 139 246 256 258 348 295
Sept11 ENSMUSG00000058013 Sept11 protein_coding 1267 1598 1910 1651 1883 922 2277 2017 2555 2182 1909 2345 2164 2324 2084 2897 1300 1916 467 645 744 503
Adtrp ENSMUSG00000058022 Adtrp protein_coding 859 868 477 705 1150 1200 788 885 884 672 724 865 754 738 813 576 995 899 392 386 326 465
X4933430I17Rik ENSMUSG00000058046 4933430I17Rik protein_coding 7 25 21 8 8 5 12 15 15 15 10 4 5 9 14 14 10 11 3 2 10 1
Gm9234 ENSMUSG00000058050 Gm9234 processed_pseudogene 38 39 32 42 43 61 56 44 30 49 40 48 34 43 72 68 92 119 12 12 13 10
Palld ENSMUSG00000058056 Palld protein_coding 2567 3079 4838 2301 3514 540 1890 1945 1548 1899 1664 1696 1963 3024 1934 2693 598 1140 1591 1338 1891 1320
Mettl7a3 ENSMUSG00000058057 Mettl7a3 protein_coding 5 112 483 58 143 52 8 62 11 38 25 18 16 125 43 19 85 16 50 34 51 41
Trim31 ENSMUSG00000058063 Trim31 protein_coding 1882 2877 2905 3785 3789 2259 4706 5820 6325 5232 5706 6280 5666 3536 3403 3937 3091 4167 702 672 760 950
Gm10036 ENSMUSG00000058064 Gm10036 protein_coding 65 67 73 80 90 210 116 97 55 70 58 63 50 80 124 82 147 442 15 8 10 9
Eml1 ENSMUSG00000058070 Eml1 protein_coding 1176 1503 2220 1083 1708 218 507 645 442 675 457 569 669 1189 802 810 275 551 812 774 972 764
Gm11189 ENSMUSG00000058073 Gm11189 processed_pseudogene 2 1 17 5 5 8 5 6 1 3 4 1 3 1 10 2 2 6 8 3 8 7
Sdhc ENSMUSG00000058076 Sdhc protein_coding 4484 5647 5359 5553 6549 7590 7133 5284 5583 5871 5556 6530 5571 6825 6620 5778 8999 8559 1875 1890 2191 1991
Zfp729b ENSMUSG00000058093 Zfp729b protein_coding 258 294 301 179 298 294 243 232 145 131 149 151 154 245 251 188 217 309 136 178 213 120
Nfam1 ENSMUSG00000058099 Nfam1 protein_coding 279 182 202 290 232 244 410 357 246 185 243 328 291 345 319 727 260 503 37 46 47 51
X1700084J12Rik ENSMUSG00000058101 1700084J12Rik transcribed_processed_pseudogene 4 3 0 2 1 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
Gm5771 ENSMUSG00000058119 Gm5771 protein_coding 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tpm3.rs7 ENSMUSG00000058126 Tpm3-rs7 protein_coding 866 996 1085 1148 1060 549 2064 1000 1137 1026 1070 1370 959 1482 1626 1963 954 1719 283 357 369 248
Gstm1 ENSMUSG00000058135 Gstm1 protein_coding 5423 6899 6777 4272 5982 2091 3371 2183 1533 2252 1598 1698 2076 4914 4326 2705 2552 2416 2318 2153 2893 2152
Adamts17 ENSMUSG00000058145 Adamts17 protein_coding 90 88 28 56 41 31 46 41 47 30 31 18 30 81 44 73 4 42 45 48 48 11
Xlr3c ENSMUSG00000058147 Xlr3c protein_coding 1 1 5 0 1 0 0 4 0 2 0 0 0 1 0 0 0 3 0 0 0 0
Chsy3 ENSMUSG00000058152 Chsy3 protein_coding 47 66 61 36 21 7 17 21 6 15 8 10 4 58 42 96 7 46 24 29 37 17
Sez6l ENSMUSG00000058153 Sez6l protein_coding 66 45 54 40 49 10 25 10 6 27 7 18 21 23 10 14 7 0 14 21 19 22
T2 ENSMUSG00000058159 T2 protein_coding 2 0 0 0 3 0 0 0 0 0 0 4 10 0 0 0 2 0 0 2 1 0
Gm5431 ENSMUSG00000058163 Gm5431 protein_coding 113 484 80 895 601 415 828 1041 995 773 908 1202 856 896 795 894 576 690 143 90 92 231
Smco4 ENSMUSG00000058173 Smco4 protein_coding 623 642 486 486 471 994 558 347 445 512 353 432 323 438 666 385 740 554 173 238 213 129
Gm5148 ENSMUSG00000058174 Gm5148 protein_coding 18 45 41 27 55 10 18 29 7 18 20 16 13 15 9 3 16 20 42 34 58 31
Mmel1 ENSMUSG00000058183 Mmel1 protein_coding 0 0 1 1 1 0 2 0 4 1 1 4 0 3 0 3 0 1 1 0 0 0
Zfp846 ENSMUSG00000058192 Zfp846 protein_coding 197 210 277 194 271 139 164 229 122 142 156 158 167 160 158 180 118 152 88 97 114 77
Serpina3k ENSMUSG00000058207 Serpina3k protein_coding 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gstp3 ENSMUSG00000058216 Gstp3 protein_coding 62 213 260 233 156 440 380 370 293 332 312 423 294 341 259 285 366 514 30 36 34 31
Arhgap35 ENSMUSG00000058230 Arhgap35 protein_coding 2254 3495 4361 3699 3091 654 3063 3616 2580 2658 2506 3416 3222 3305 2299 3083 824 2075 888 926 1229 779
Usf2 ENSMUSG00000058239 Usf2 protein_coding 864 780 1008 769 755 990 882 759 690 726 705 733 614 823 818 920 909 1004 407 414 531 412
Cryzl1 ENSMUSG00000058240 Cryzl1 protein_coding 669 678 846 688 878 1168 794 925 704 624 807 787 634 716 680 680 997 939 362 337 438 302
Olfr506 ENSMUSG00000058244 Olfr506 protein_coding 0 0 0 0 0 1 4 0 3 1 0 0 0 0 0 3 0 4 0 0 0 0
Gm10037 ENSMUSG00000058246 Gm10037 protein_coding 13 9 7 9 15 18 4 15 8 8 11 7 10 4 7 3 1 0 3 11 4 11
Kcnh1 ENSMUSG00000058248 Kcnh1 protein_coding 47 30 27 17 60 10 22 18 14 8 9 14 10 29 22 19 3 19 10 11 16 17
Tcp11x2 ENSMUSG00000058252 Tcp11x2 protein_coding 0 5 7 1 0 0 3 3 0 2 1 3 1 2 3 2 5 7 2 0 1 0
Tspan7 ENSMUSG00000058254 Tspan7 protein_coding 1704 2385 2768 1807 2219 1470 1801 1307 1242 1393 1189 1284 1360 2207 2120 1936 1788 2071 726 736 893 689
Idi1 ENSMUSG00000058258 Idi1 protein_coding 1004 2136 1054 1773 1781 1655 2169 2221 1492 1342 1721 1703 1445 1937 2457 1986 1921 3813 442 535 824 393
Serpina9 ENSMUSG00000058260 Serpina9 protein_coding 5 46 123 23 30 20 8 12 4 12 4 4 10 51 24 25 17 0 9 18 20 11
Mrps14 ENSMUSG00000058267 Mrps14 protein_coding 871 965 800 906 897 2577 1390 1126 1043 1039 1091 1249 861 1095 1295 1002 2124 1861 252 303 307 248
Gm12253 ENSMUSG00000058287 Gm12253 protein_coding 3 9 0 0 3 5 5 8 8 13 5 9 8 4 12 5 10 8 3 0 5 2
Espl1 ENSMUSG00000058290 Espl1 protein_coding 412 530 580 553 526 157 670 503 540 407 531 559 341 548 511 719 204 355 222 177 345 167
Zfp68 ENSMUSG00000058291 Zfp68 protein_coding 651 827 939 593 785 735 593 659 448 415 424 513 426 710 726 636 588 701 306 299 404 277
Spock2 ENSMUSG00000058297 Spock2 protein_coding 464 351 440 221 333 59 130 171 110 217 174 202 202 226 105 162 64 76 157 178 167 134
Mcm9 ENSMUSG00000058298 Mcm9 protein_coding 314 447 444 383 395 157 346 333 260 256 255 310 215 268 274 332 129 295 232 260 290 207
Upf1 ENSMUSG00000058301 Upf1 protein_coding 2605 2527 3707 2359 2999 1065 3102 2474 2659 2235 2142 2709 2216 3092 2129 3199 1146 1793 1225 1062 1394 1062
Ube2e2 ENSMUSG00000058317 Ube2e2 protein_coding 305 306 382 254 285 220 269 121 128 140 134 140 165 320 294 240 295 307 128 134 132 139
Phf21a ENSMUSG00000058318 Phf21a protein_coding 798 916 1051 848 1005 291 623 999 679 711 695 756 751 781 515 771 231 431 451 452 536 326
Dock1 ENSMUSG00000058325 Dock1 protein_coding 1648 1951 2026 1640 2453 520 1670 1354 1102 1039 1072 1149 1181 1706 1337 2011 554 993 685 769 1083 728
Zfp85 ENSMUSG00000058331 Zfp85 protein_coding 80 61 62 51 76 115 59 80 50 45 46 43 41 73 66 56 76 89 21 40 38 28
Smim4 ENSMUSG00000058351 Smim4 protein_coding 185 164 178 185 188 453 228 179 151 151 201 196 146 228 212 143 429 258 46 41 58 35
Krt6a ENSMUSG00000058354 Krt6a protein_coding 0 0 0 0 2 4 9 0 6 2 0 6 4 0 0 11 0 2 0 0 0 0
Abce1 ENSMUSG00000058355 Abce1 protein_coding 2215 2405 2640 2224 2557 2280 3137 2030 1988 1779 2058 2116 1554 2432 2983 3448 2617 3455 793 953 1241 860
Gm6612 ENSMUSG00000058357 Gm6612 processed_pseudogene 4 1 1 4 0 2 0 3 2 0 4 0 0 0 3 0 1 0 0 0 0 0
Hist1h2bg ENSMUSG00000058385 Hist1h2bg protein_coding 50 56 53 23 34 36 19 29 23 22 22 30 26 41 20 26 37 45 14 14 16 10
Phtf1 ENSMUSG00000058388 Phtf1 protein_coding 462 452 476 387 408 308 355 426 221 261 360 377 322 405 365 424 269 399 171 177 203 106
Rrp1b ENSMUSG00000058392 Rrp1b protein_coding 291 309 544 399 406 157 607 332 353 242 304 388 234 334 361 593 240 419 111 170 169 141
Gpr182 ENSMUSG00000058396 Gpr182 protein_coding 56 54 92 43 109 27 75 53 36 44 39 59 52 54 59 90 19 67 36 24 46 36
Zfp420 ENSMUSG00000058402 Zfp420 protein_coding 65 100 166 101 96 43 63 99 53 57 54 70 70 59 47 77 26 38 40 36 62 44
Txndc9 ENSMUSG00000058407 Txndc9 protein_coding 1450 1795 1785 1593 2055 3803 2603 2559 2638 2271 2274 2751 2161 2290 2491 2208 3898 3418 620 618 807 638
Syt17 ENSMUSG00000058420 Syt17 protein_coding 70 42 44 41 66 8 42 35 29 31 20 22 22 47 42 20 7 26 32 33 47 25
Cxcl2 ENSMUSG00000058427 Cxcl2 protein_coding 73 4 8 87 17 556 766 166 418 183 126 342 365 56 148 284 237 334 1 0 1 0
Btnl4 ENSMUSG00000058435 Btnl4 protein_coding 1267 1725 1327 2175 2278 567 2144 3299 3360 2242 3458 3768 2821 1785 1721 1877 814 2005 931 723 683 1011
Nrf1 ENSMUSG00000058440 Nrf1 protein_coding 672 756 921 742 802 682 874 786 786 709 728 887 648 861 837 873 670 896 277 305 349 262
Panx2 ENSMUSG00000058441 Panx2 protein_coding 14 11 7 10 18 0 3 27 5 14 7 10 16 4 4 12 9 14 8 5 0 6
Rpl10.ps3 ENSMUSG00000058443 Rpl10-ps3 protein_coding 37 32 49 55 47 70 39 55 26 35 28 32 24 34 77 61 61 154 3 5 11 2
Map2k5 ENSMUSG00000058444 Map2k5 protein_coding 398 497 544 381 400 260 460 368 312 275 337 395 318 500 419 514 293 543 145 176 188 149
Znrf2 ENSMUSG00000058446 Znrf2 protein_coding 2743 3083 2683 2764 2908 3294 3243 2794 2428 2047 2278 2504 2219 2948 3450 2982 2529 3341 867 1044 1002 686
Dhcr7 ENSMUSG00000058454 Dhcr7 protein_coding 2068 3489 3211 2930 3359 1103 2615 2174 1778 2077 1844 1946 1954 3344 2426 2503 1286 1908 1198 1120 1810 956
Gm8369 ENSMUSG00000058470 Gm8369 protein_coding 8 23 26 27 18 105 23 55 38 19 56 46 22 36 66 31 36 72 0 3 2 10
Wdr91 ENSMUSG00000058486 Wdr91 protein_coding 276 226 334 234 260 107 190 200 152 136 162 168 125 225 225 247 94 193 98 77 103 79
Kl ENSMUSG00000058488 Kl protein_coding 3 13 8 8 11 0 1 2 1 1 7 1 1 0 1 3 0 0 8 7 8 3
Scp2.ps2 ENSMUSG00000058492 Scp2-ps2 transcribed_unprocessed_pseudogene 221 208 183 176 243 277 219 218 200 175 185 162 132 219 208 223 233 255 0 0 0 0
Rnf207 ENSMUSG00000058498 Rnf207 protein_coding 29 30 32 29 38 0 5 41 34 29 55 53 35 19 5 9 1 0 51 23 16 25
Fam133b ENSMUSG00000058503 Fam133b protein_coding 396 464 572 398 529 512 472 429 418 353 388 449 286 468 515 447 488 511 178 198 236 165
Mup5 ENSMUSG00000058523 Mup5 protein_coding 0 1 0 1 0 3 1 2 4 0 3 3 0 0 1 0 4 2 0 0 0 0
AW822073 ENSMUSG00000058537 AW822073 protein_coding 7 3 0 1 0 0 1 0 0 0 0 0 0 7 7 21 0 0 0 0 0 0
Gm15590 ENSMUSG00000058542 Gm15590 processed_pseudogene 42 26 17 37 33 40 25 27 17 30 19 31 25 26 56 56 45 83 6 4 10 8
Rpl23a ENSMUSG00000058546 Rpl23a protein_coding 4321 5943 6434 5339 5647 10204 7078 4939 4103 4111 4910 4875 3632 7181 6757 6196 9017 9229 3969 4250 4540 3355
Rpl5 ENSMUSG00000058558 Rpl5 protein_coding 13930 17841 19075 14641 16108 52913 18912 15266 11438 11394 13554 13069 9942 17514 21994 15456 33770 28879 6278 6558 7610 4802
Gm2531 ENSMUSG00000058567 Gm2531 pseudogene 0 0 4 3 0 0 0 2 0 1 4 0 0 0 0 0 0 4 0 0 0 0
Tmed9 ENSMUSG00000058569 Tmed9 protein_coding 3850 3874 3444 3739 3733 4919 5587 3594 3795 3442 3390 3861 2955 4279 4767 4690 5133 4648 947 987 1327 839
Gpc6 ENSMUSG00000058571 Gpc6 protein_coding 102 77 181 92 123 6 29 47 7 32 17 19 21 86 53 95 8 18 46 77 87 53
Cela2a ENSMUSG00000058579 Cela2a protein_coding 2982 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 202 0 0
Gm5801 ENSMUSG00000058581 Gm5801 processed_pseudogene 8 7 5 13 12 8 9 5 9 24 8 12 8 5 22 8 4 12 0 3 0 8
Serhl ENSMUSG00000058586 Serhl protein_coding 725 1000 1106 1009 1213 1281 1297 1415 987 1012 1273 1394 955 1221 1127 1089 1233 1833 912 795 909 828
Tmod3 ENSMUSG00000058587 Tmod3 protein_coding 3105 3784 3869 3317 4055 3070 4204 3457 3132 2798 3133 3572 2529 4296 4269 4262 3029 4472 1274 1277 1612 1252
Anks1b ENSMUSG00000058589 Anks1b protein_coding 12 25 12 11 28 15 16 8 9 6 7 8 10 8 13 8 3 3 14 14 6 10
Fbxo18 ENSMUSG00000058594 Fbxo18 protein_coding 2017 2513 2864 2382 2823 1462 2372 2833 2050 2050 2155 2196 1869 2500 2105 2375 1291 2185 978 951 1048 777
Rpl30 ENSMUSG00000058600 Rpl30 protein_coding 172 2925 1764 201 750 882 1220 278 240 1936 263 329 179 2864 5415 4103 308 5522 2546 2247 2659 1941
Rpl28.ps1 ENSMUSG00000058603 Rpl28-ps1 processed_pseudogene 511 579 771 539 627 1111 943 449 517 586 416 582 385 729 853 792 1225 1351 158 152 177 122
Cyp2d41.ps ENSMUSG00000058613 Cyp2d41-ps unprocessed_pseudogene 9 11 0 1 1 1 0 1 3 0 0 1 0 2 0 0 0 0 1 0 1 0
Adra2b ENSMUSG00000058620 Adra2b protein_coding 20 24 21 15 30 0 2 5 1 5 4 3 12 22 3 14 6 3 3 8 6 5
Gda ENSMUSG00000058624 Gda protein_coding 3453 4766 2624 5231 5680 3874 9144 8215 8220 6261 7349 8748 7527 6512 6357 6790 4156 6431 749 1165 1238 1153
Gm17383 ENSMUSG00000058625 Gm17383 pseudogene 28 16 41 37 40 19 34 25 21 39 34 29 31 44 31 45 41 48 11 13 14 7
Capn11 ENSMUSG00000058626 Capn11 protein_coding 18 104 6 0 37 9 1 3 1 2 1 2 18 0 4 14 0 22 0 19 1 0
Zfp110 ENSMUSG00000058638 Zfp110 protein_coding 1182 1071 1145 977 1015 701 942 944 706 573 704 785 587 1028 924 987 617 820 361 424 489 358
Eif4b ENSMUSG00000058655 Eif4b protein_coding 7963 10836 11597 8709 9687 5750 8887 7670 6624 6099 6503 6809 5609 10432 8813 9065 5544 7776 3944 3838 4411 3304
Samd12 ENSMUSG00000058656 Samd12 protein_coding 516 733 391 509 672 159 321 303 232 260 231 276 332 469 420 374 97 141 276 247 307 170
Olfr69 ENSMUSG00000058662 Olfr69 protein_coding 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Nkx2.9 ENSMUSG00000058669 Nkx2-9 protein_coding 13 2 16 6 19 0 2 3 1 7 3 0 0 4 6 2 3 2 0 0 0 0
Tubb2a ENSMUSG00000058672 Tubb2a protein_coding 1055 701 740 749 2349 694 939 789 768 851 633 919 1027 1168 1134 1104 1201 771 346 301 378 881
Ccser2 ENSMUSG00000058690 Ccser2 protein_coding 1596 2134 2045 1629 2305 596 1357 1605 1232 1073 1205 1425 1098 1656 1539 1681 532 932 841 735 862 661
Rpl21.ps12 ENSMUSG00000058700 Rpl21-ps12 processed_pseudogene 1 2 0 0 0 2 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0
Memo1 ENSMUSG00000058704 Memo1 protein_coding 904 959 1131 959 1143 1795 1204 913 864 773 881 870 734 1118 1257 1056 1632 1440 256 288 329 334
X0610030E20Rik ENSMUSG00000058706 0610030E20Rik protein_coding 1082 1039 1314 1001 1360 585 1102 1336 1032 985 1197 1195 938 1020 849 1000 518 768 544 475 554 547
